cellid_a,cellid_b,cd_3_4,cd_2_4,cd_2_3,cd_1_4,cd_1_3,cd_1_2
130,130,1,0.788732394366197,0.788732394366197,0.788732394366197,0.788732394366197,1
130,1368,0,0,0.170731707317073,0,0.170731707317073,0
131,131,1,1,1,0,0,0
132,132,1,0.805714285714286,0.805714285714286,0.805714285714286,0.805714285714286,1
133,131,0,0,0,0.327160493827161,0.327160493827161,0.327160493827161
133,133,1,1,1,0.347560975609756,0.347560975609756,0.347560975609756
134,134,1,0.708010335917313,0.708010335917313,0.708010335917313,0.708010335917313,1
135,135,0,0,0.611570247933884,0,0.527472527472527,0.646575342465753
135,2128,0.610169491525424,0.661710037174721,0,0.386666666666667,0,0
136,136,1,1,1,1,1,1
137,137,0.887272727272727,1,0.887272727272727,1,0.887272727272727,1
138,138,0,0,0,0,0,1
138,2094,0,0,0.531043593130779,0,0.531043593130779,0
138,2095,0,0,0.318452380952381,0,0.318452380952381,0
138,2130,0,0.632352941176471,0,0.632352941176471,0,0
139,139,0,0,0,0,0,0.80719794344473
139,2096,0,0,0.395348837209302,0,0.411522633744856,0
139,2097,0,0,0.602739726027397,0,0.59927797833935,0
139,2098,0,0,0.168888888888889,0,0,0
139,2132,0,0.421875,0,0.423236514522822,0,0
139,2133,0,0.438461538461538,0,0.43265306122449,0,0
139,2135,0,0.127272727272727,0,0,0,0
140,140,1,0.70076726342711,0.70076726342711,0.70076726342711,0.70076726342711,1
141,141,0,0.119402985074627,0.73900293255132,0.119402985074627,0.73900293255132,1
141,2138,0.847715736040609,0.773770491803279,0,0.773770491803279,0,0
142,142,0,0,0.561538461538462,0,0.561538461538462,1
142,2140,0.713178294573643,0.424242424242424,0,0.424242424242424,0,0
143,143,0,0,0,0,0,0.558891454965358
143,2099,0,0,0.333333333333333,0,0.203208556149733,0
143,2100,0,0,0.404092071611253,0,0.7,0
143,2141,0,0.196531791907514,0,0.116129032258065,0,0
143,2142,0,0.340425531914894,0,0.648648648648649,0,0
143,2143,0,0.357512953367876,0,0.143589743589744,0,0
143,2549,0,0,0.419753086419753,0,0.158878504672897,0
144,144,0,0,0.778494623655914,0,0.778494623655914,1
144,2826,0.650847457627119,0.5678391959799,0,0.5678391959799,0,0
144,2827,0.5,0.4,0,0.4,0,0
145,145,1,1,1,1,1,1
146,146,1,0.861618798955614,0.861618798955614,0.861618798955614,0.861618798955614,1
147,147,0.768189509306261,1,0.768189509306261,0.768189509306261,1,0.768189509306261
148,148,0.992481203007519,1,0.992481203007519,0.804878048780488,0.809815950920245,0.804878048780488
149,149,0.544839255499154,0.544839255499154,1,0.544839255499154,1,1
150,150,0.956521739130435,1,0.956521739130435,1,0.956521739130435,1
151,151,0.926553672316384,1,0.926553672316384,1,0.926553672316384,1
152,152,0.942857142857143,1,0.942857142857143,1,0.942857142857143,1
153,153,0.818897637795276,1,0.818897637795276,1,0.818897637795276,1
154,154,1,1,1,1,1,1
155,2101,0,0,0.43960396039604,0,0,0
155,2102,0,0,0.703947368421053,0,0,0
155,2224,0,0.406438631790744,0,0,0,0
155,2225,0,0.713355048859935,0,0,0,0
156,2103,0,0,0.843110504774898,0,0,0
156,2104,0,0,0.320582877959927,0,0,0
156,2145,0,0.938922155688623,0,0,0,0
157,157,0,0,0,0,0,1
157,2226,0,0.806936416184971,0,0.806936416184971,0,0
157,2227,0,0.328744939271255,0,0.328744939271255,0,0
157,2557,0,0,0.329278183292782,0,0.329278183292782,0
157,2558,0,0,0.829545454545455,0,0.829545454545455,0
158,158,0.226851851851852,0.223744292237443,0.992227979274611,0.230046948356808,0.992105263157895,0.984334203655353
158,2144,0.910364145658263,0.902777777777778,0,0.912429378531073,0,0
160,160,0.91156462585034,1,0.91156462585034,1,0.91156462585034,1
161,161,1,1,1,1,1,1
162,162,0.876560332871013,0.876560332871013,1,0.876560332871013,1,1
163,2229,0,0.616294349540079,0,0,0,0
163,2230,0,0.517314487632509,0,0,0,0
163,2559,0,0,0.530812324929972,0,0,0
163,2560,0,0,0.585333333333333,0,0,0
164,164,1,1,1,0.994984954864594,0.994984954864594,0.994984954864594
165,165,0.859180035650624,0.996865203761755,0.862254025044723,0.9792663476874,0.854014598540146,0.9824
166,166,1,1,1,1,1,1
167,167,0.853260869565217,1,0.853260869565217,0.785219399538106,0.845986984815618,0.785219399538106
168,168,0.998692810457516,0.921760391198044,0.922888616891065,0.921760391198044,0.922888616891065,1
169,2106,0,0,0.830892143808256,0,0,0
169,2149,0,0.778254649499285,0,0,0,0
169,2150,0,0.241014799154334,0,0,0,0
170,170,1,1,1,1,1,1
171,171,0.890995260663507,1,0.890995260663507,1,0.890995260663507,1
172,172,0,0,0.813953488372093,0,0.810495626822157,0.997481108312343
172,2151,0.57345971563981,0.426415094339623,0,0.420454545454545,0,0
172,2152,0.617511520737327,0.531365313653137,0,0.533333333333333,0,0
173,173,1,1,1,1,1,1
174,174,0.89620253164557,0.89620253164557,1,0.89620253164557,1,1
175,175,1,1,1,1,1,1
176,176,1,1,1,1,1,1
177,177,1,1,1,1,1,1
178,178,0.875,0.875,1,0.875,1,1
179,179,0,0,0.875912408759124,0,0.875912408759124,1
179,2156,0.907317073170732,0.89405684754522,0,0.89405684754522,0,0
180,180,0,0,0.916666666666667,0,0.916666666666667,1
180,2157,0.831896551724138,0.868544600938967,0,0.868544600938967,0,0
181,181,1,1,1,1,1,1
182,182,0.935672514619883,1,0.935672514619883,1,0.935672514619883,1
183,2107,0,0,0.442922374429224,0,0,0
183,2108,0,0,0.564755838641189,0,0,0
183,2158,0,0.55863539445629,0,0,0,0
183,2159,0,0.401891252955083,0,0,0,0
184,184,1,1,1,1,1,1
185,185,0,0,0,0,0,1
185,2231,0,0.522255192878338,0,0.522255192878338,0,0
185,2232,0,0.433962264150943,0,0.433962264150943,0,0
